#label	score
TACC3	NaN
PELI1	NaN
ENPP1	NaN
LILRB4	NaN
ADPGK	NaN
C7orf19	NaN
IL17R	NaN
SOCS5	NaN
OSMR	NaN
ARTS-1	NaN
IL13RA2	NaN
RASGRP1	NaN
IL1R2	NaN
VPREB3	NaN
PRPF38A	NaN
HDAC10	NaN
ISGF3G	NaN
IDH3G	NaN
DNAJC10	NaN
AHSA2	NaN
PRKD3	NaN
CNNM3	NaN
MATR3	NaN
HLA-DOB	NaN
HLA-DRB1	NaN
DLK1	NaN
TPR	NaN
MIER1	NaN
ZF	NaN
ALG9	NaN
UBE4A	NaN
PPM1G	NaN
MAP3K1	NaN
GSTA2	NaN
GALNT6	NaN
AKAP11	NaN
CXCL5	NaN
ECD	NaN
CTDSPL	NaN
ZMYM6	NaN
ISG20L2	NaN
CD226	NaN
XCL2	NaN
ATXN10	NaN
GNG10	NaN
SNX13	NaN
RGS13	NaN
RGS5	NaN
RGS14	NaN
GPR1	NaN
RASA2	NaN
NARG1	NaN
ZNF653	NaN
XRCC3	NaN
SCAP1	NaN
RICTOR	NaN
TNIP2	NaN
MGC2574	NaN
PPP3R1	NaN
PTK9L	NaN
MGLL	NaN
GCS1	NaN
API5	NaN
RPS2	NaN
HSH2D	NaN
ABCB7	NaN
C14orf135	NaN
LYZ	NaN
BRDG1	NaN
USP1	NaN
MGST3	NaN
FANCB	NaN
NSUN4	NaN
FLJ22318	NaN
HRB2	NaN
LILRA3	NaN
MSC	NaN
CDK10	NaN
DNTTIP2	6.95408
NTHL1	4.1026
EPO	NaN
LRP16	NaN
JMY	NaN
EMB	NaN
NEDD1	NaN
P8	NaN
ETV4	NaN
NAB2	NaN
PAIP2	NaN
EPHA5	NaN
EIF2AK3	NaN
EML4	NaN
RHBDL2	NaN
LARS	NaN
HEXDC	NaN
IL18RAP	NaN
TFDP2	NaN
SNX22	NaN
DIP2A	NaN
FAM105B	NaN
USP54	NaN
KIAA0515	NaN
SYVN1	NaN
WDR5	NaN
MYST3	NaN
SLIT1	NaN
ASB13	8.59668
PTPRG	NaN
IL13RA1	NaN
KCNAB1	NaN
KCNA3	NaN
IQCB1	NaN
SEPT6	NaN
DEFA3	NaN
MGEA5	NaN
SIPA1L1	NaN
DAZAP1	NaN
MIB1	NaN
CD97	NaN
SCD	NaN
POR	NaN
CYP1A1	NaN
SLPI	NaN
CHD8	NaN
PTPRU	NaN
USP9X	NaN
PYGO2	NaN
KLF12	NaN
CSTF3	NaN
DOCK8	NaN
CDGAP	NaN
CDC42SE1	NaN
CCL20	NaN
EEF2K	NaN
PTPN7	NaN
DUSP2	NaN
ANKRD1	NaN
BDP1	NaN
KLF1	NaN
MAZ	NaN
ANKRD6	NaN
P2RXL1	NaN
SOCS3	NaN
GAB3	NaN
TNFAIP6	NaN
GPBP1	NaN
TRERF1	NaN
SERTAD2	NaN
KLF4	NaN
NPAT	NaN
HLF	NaN
ANTXR2	NaN
YLPM1	NaN
CCL1	NaN
CXCL11	NaN
CXCL9	NaN
CCL23	NaN
NUP50	2.61119
UBE1C	NaN
CHKA	NaN
SLC9A6	NaN
TBRG1	NaN
ANKRD12	NaN
ZNF655	NaN
GMNN	NaN
CCNE2	NaN
PPP2R4	NaN
PPP2R3B	NaN
CDH4	NaN
CBLL1	NaN
ZA20D3	NaN
ATF5	NaN
CEP55	NaN
NDE1	NaN
MPHOSPH1	NaN
CCNB2	NaN
ANAPC7	NaN
CDC16	NaN
IGJ	NaN
CTSF	NaN
NSMAF	NaN
KLF13	NaN
EBI3	NaN
EDEM1	NaN
AFF4	NaN
RAGE	NaN
CCNF	NaN
SLA2	NaN
OSTF1	NaN
PTPN22	NaN
BCAS2	NaN
TLR10	NaN
MAP4K4	NaN
UBE2J1	NaN
BIRC6	NaN
UBE4B	NaN
SLK	NaN
SRP72	5.70936
MYL3	NaN
PACAP	NaN
CREG1	NaN
RGS10	NaN
PPEF1	NaN
PPEF2	NaN
PCP4	NaN
GRK4	NaN
C11orf30	NaN
