#nodeA	nodeB
CD4	CD5
CD4	CD38
CD4	CD44
CD4	CD53
CD4	DPP4
CD4	HLA-DPA1
CD4	IL16
CD4	CD82
CD4	LCK
CD4	LGALS1
CD4	PIK3R1
CD4	PTPRC
CD4	CXCL12
CD4	SELL
CD4	CXCR4
CAMK2D	CD5
CAMK2D	CREM
CAMK2D	STAT1
CAMK2D	VIM
CD5	CD6
CD5	CD72
CD5	CD79A
CD5	CD79B
CD5	CSNK2A1
CD5	FYN
CD5	LCK
CD5	PIK3R1
CD5	PRKCA
CD5	PRKCB1
CD5	PRKCG
CD5	PTPN6
CD5	RASA1
CD5	ZAP70
CD8A	CD8B1
CD8A	LCK
CD8A	LGALS1
CD8A	PTPRC
CD8A	SFRS12
CD9	CD19
CD9	CD36
CD9	CD38
CD9	CD53
CD9	CD59
CD9	CD63
CD9	CD81
CD9	ITGA2
CD9	ITGA3
CD9	ITGA5
CD9	KIT
CD9	PRKCA
CD19	CD22
CD19	CD79A
CD19	CD79B
CD19	CD81
CD19	CR2
CD19	FYN
CD19	GRB2
CD19	CD82
CD19	LYN
CD19	PIK3R1
CD19	PLCG2
CD19	MAPK1
CD19	SOS1
CD19	SYK
CD19	VAV1
CD19	VAV2
CD80	CD86
CD80	CTLA4
CD86	CTLA4
TNFRSF8	TNFSF8
TNFRSF8	TRAF1
TNFRSF8	TRAF2
TNFRSF8	TRAF3
TNFRSF8	TRAF5
MS4A1	CD40
MS4A1	CSNK2A1
MS4A1	CSNK2A2
MS4A1	FYN
CD40	MAP3K8
CD40	XRCC6
CD40	IL4R
CD40	PIK3R1
CD40	TRAF1
CD40	TRAF2
CD40	TRAF3
CD40	TRAF5
CD40	TRAF6
CD40	XRCC5
CD40	NSMAF
CD44	CD74
CD44	CSK
CD44	EPB41
CD44	ERBB4
CD44	FGF2
CD44	FYN
CD44	HMMR
CD44	IGFBP3
CD44	LCK
CD44	MMP1
CD44	MMP7
CD44	MMP9
CD44	PKN1
CD44	SELE
CD44	SPP1
CD44	TGFBR2
CD44	TIAM1
CD44	VAV2
CD44	VIL2
CD44	MADCAM1
CD44	ARHGEF1
CD44	ANK1
ANK1	EPB42
ANK1	ITPR3
ANK1	TIAM1
ANK1	TTN
ANK1	NBPF3
TNFRSF7	TRAF2
TNFRSF7	TRAF3
TNFRSF7	TRAF5
CD74	CTSL
CD74	MIF
CD74	CTSF
CD74	CD1D
CD1D	PTPRC
CD79A	CD79B
CD79A	FYN
CD79A	HCLS1
CD79A	IGJ
CD79A	LCK
CD79A	LYN
CD79A	PTPN6
CD79A	SYK
CD79A	BLNK
CD81	ITGA4
CD81	KIT
CD81	SHC1
CD81	ZBTB16
CD81	IFITM1
CD81	DLG5
CCNE1	CDC2
CCNE1	CDC25A
CCNE1	CDK2
CCNE1	CDKN1A
CCNE1	GSK3B
CCNE1	MRE11A
CCNE1	MYBL2
CCNE1	NBN
CCNE1	PRKAR1A
CCNE1	RBL1
CCNE1	RBL2
CCNE1	REL
CCNE1	SKP2
CCNA2	CDC2
CCNA2	CDC6
CCNA2	CDC20
CCNA2	CDC25C
CCNA2	CDK2
CCNA2	CDKN1A
CCNA2	CDKN1B
CCNA2	E2F1
CCNA2	E2F3
CCNA2	MYBL2
CCNA2	PTMA
CCNA2	RBL1
CCNA2	RBL2
CCNA2	SKP1A
CCNA2	SKP2
CCNA2	TP53
CCNA2	CDT1
BUB1	CDC2
BUB1	CDC20
BUB1	CRK
BUB1	PLK1
BUB1	BUB3
CCND3	CDK4
CCND3	CDK6
CCND3	CDKN1A
CCND3	CDKN1B
CCND3	PCNA
CCND3	MAPK4
CCND3	RARA
CCND3	RBL2
CCND3	VDR
CCND3	DMTF1
CCND3	AKAP8
CCND3	NCOA2
CDC20	CDC27
CDC20	MAD2L1
CDC20	STK6
CDC20	CDC16
CDC20	BUB1B
BUB1B	CDC27
BUB1B	CENPE
BUB1B	MAP3K4
BUB1B	CDC16
BUB1B	BUB3
BUB1B	ANAPC7
CDC2	CDC25A
CDC2	CDC25B
CDC2	CDC25C
CDC2	CDK7
CDC2	CDKN1A
CDC2	CDKN3
CDC2	CKS2
CDC2	CREM
CDC2	CSNK2A1
CDC2	CUTL1
CDC2	DAB2
CDC2	DUT
CDC2	E2F1
CDC2	ERCC2
CDC2	FANCC
CDC2	FEN1
CDC2	FYN
CDC2	SFN
CDC2	HMGA1
CDC2	IL16
CDC2	ITPR1
CDC2	KIF11
CDC2	LMNA
CDC2	LMNB1
CDC2	LYN
CDC2	MCM4
CDC2	MDM4
CDC2	MEF2C
CDC2	MNDA
CDC2	MYC
CDC2	GADD45B
CDC2	PCNA
CDC2	PTCH
CDC2	PTMA
CDC2	PTPN1
CDC2	PTPN2
CDC2	RAB4A
CDC2	RAB5B
CDC2	RB1
CDC2	RPA2
CDC2	RPS6KB1
CDC2	RRM2
CDC2	TGFBR2
CDC2	TK1
CDC2	TP53
CDC2	UBE2A
CDC2	VIM
CDC2	WEE1
CDC2	ZBTB16
CDC2	CCNA1
CDC2	PKMYT1
CDC2	LATS1
CDC2	CCNB2
CDC2	MPHOSPH1
CDC2	PITPNM1
CDC2	KHDRBS1
CDC2	NUP210
CDC2	NDE1
CDC2	CEP55
CDC2	PBK
CDC2	GORASP1
CDC2	CDT1
CDH1	CSE1L
CDH1	CSNK2A1
CDH1	CTNNB1
CDH1	CTNND2
CDH1	GSK3B
CDH1	IRS1
CDH1	ITGB7
CDH1	JUP
CDH1	PKD1
CDH1	PSEN1
CDH1	PTPRF
CDH1	PTPRM
CDH1	RRM2
CDH1	VIL2
CDH1	IQGAP1
CDH1	ERBB2IP
CDH1	CBLL1
CDH3	CTNNA1
CDH3	CTNNB1
CDH2	CDH4
CDH2	CREBBP
CDH2	CTNNA1
CDH2	CTNNB1
CDH2	CTNND2
CDH2	JUP
CDH2	PIK3R1
CDH2	PTPN1
CDC25A	CDK2
CDC25A	CDKN3
CDC25A	CHEK1
CDC25A	CUTL1
CDC25A	HRAS
CDC25A	SMAD3
CDC25A	MAP3K5
CDC25A	PIM1
CDC25A	RAF1
CDC25A	ROCK1
CDC25A	YWHAE
CDC25A	CCNA1
CDC25A	FBXW11
CCNH	CDK2
CCNH	CDK7
CCNH	ERCC3
CCNH	MCM7
CCNH	TP53
CCNH	FUBP1
CCNH	MTA1
CDC6	CDK2
CDC6	CDKN1A
CDC6	CDKN2A
CDC6	MCM2
CDC6	MCM7
CDC6	MYC
CDC6	PCNA
CDC6	PPP2R3A
CDC6	RPS27A
CDC6	PPP2R3B
CDC6	CDT1
CCND2	CDK4
CCND2	CDK5
CCND2	CDK6
CCND2	CDKN1A
CCND2	CDKN1B
CCND2	RB1
CCND2	DMTF1
CCND2	AKAP8
CDK5	CDKN1B
CDK5	CSNK1D
CDK5	DAB1
CDK5	FYN
CDK5	MEF2A
CDK5	PAK1
CDK5	PCNA
CDK5	MAPK10
CDK5	MAP2K1
CDK5	PSEN1
CDK5	PTPN2
CDK5	PURA
CDK5	SET
CDK5	TP53
CDK5	VIL2
CDK5	CDC37
CDK5	CCNG1
CCNG1	CDKN2A
CCNG1	MDM2
CCNG1	PPP2CA
CCNG1	PPP2R4
CCNG1	TP53
CDK6	CDKN1A
CDK6	CDKN2A
CDK6	CDKN2C
CDK6	CDKN2D
CDK6	MCM2
CDK6	PCNA
CDK6	RB1
CDK6	CDC37
CDK2	CDK7
CDK2	CDKN1A
CDK2	CDKN1B
CDK2	CDKN3
CDK2	CKS1B
CDK2	FEN1
CDK2	ID2
CDK2	ID3
CDK2	LYN
CDK2	SMAD3
CDK2	MCM4
CDK2	MNDA
CDK2	MYBL2
CDK2	NFYA
CDK2	PCNA
CDK2	POLD1
CDK2	POLD2
CDK2	PRKAR1A
CDK2	PRKCH
CDK2	PTMA
CDK2	PTPN2
CDK2	RB1
CDK2	RBL1
CDK2	RBL2
CDK2	SKP2
CDK2	TP53
CDK2	UBE2A
CDK2	WEE1
CDK2	CDK2AP1
CDK2	CDC7
CDK2	CCNK
CDK2	CCNA1
CDK2	CCNB2
CDK2	CCNE2
CDK2	CDC37
CDK2	CDT1
CDK7	E2F1
CDK7	ERCC2
CDK7	ERCC3
CDK7	MCM7
CDK7	MNAT1
CDK7	RARA
CDK7	VDR
CDK7	NEK6
CCNT2	CDK9
CCNT2	PKN1
CCNT2	RB1
CDKN1A	CSNK2A1
CDKN1A	XRCC6
CDKN1A	GADD45B
CDKN1A	PCNA
CDKN1A	PIM1
CDKN1A	POLD2
CDKN1A	MAPK8
CDKN1A	RB1
CDKN1A	SET
CDKN1A	STAT3
CDKN1A	TK1
CDKN1A	TSG101
CDKN1A	CDC7
CDKN1A	CCNA1
CDKN1A	CCNB2
CDKN1A	CCNE2
CDKN1A	GMNN
CDKN1A	C7orf20
CDKN1A	CDK4
CDK4	CDKN1B
CDK4	CDKN1C
CDK4	CDKN2A
CDK4	CDKN2C
CDK4	CDKN2D
CDK4	SMAD2
CDK4	SMAD3
CDK4	MCM2
CDK4	PRKAR1A
CDK4	PTMA
CDK4	RB1
CDK4	RBL1
CDK4	RFC4
CDK4	CDC7
CDK4	NCOA2
CDK4	CDC37
CDK4	C6orf55
CDK4	ZNF655
CDKN2A	CDKN2C
CDKN2A	E2F1
CDKN2A	GSPT1
CDKN2A	HIF1A
CDKN2A	MCM2
CDKN2A	MDM2
CDKN2A	MYC
CDKN2A	TPI1
CDKN2A	UBE2A
CDKN2A	WRN
CDKN2A	CDC7
CDKN2A	ANKRD12
CDKN2A	GMNN
CDKN2A	PPP1R9B
CDKN2A	TBRG1
CEBPB	CREB1
CEBPB	CREBBP
CEBPB	DDIT3
CEBPB	EGR1
CEBPB	ELK1
CEBPB	EP300
CEBPB	FOXO1A
CEBPB	NR3C1
CEBPB	HMGA1
CEBPB	HNRPK
CEBPB	SMAD3
CEBPB	SMAD4
CEBPB	MYB
CEBPB	MYC
CEBPB	NFKB1
CEBPB	MAPK1
CEBPB	MAPK3
CEBPB	RB1
CEBPB	RELA
CEBPB	RPS6KA1
CEBPB	CCL3
CEBPB	SP1
CEBPB	SPI1
CEBPB	SPIB
CEBPB	SRF
CEBPB	STAT5A
CEBPB	STAT6
CEBPB	NOLC1
CEBPB	RPS6KA5
CEBPB	CRSP3
CEBPB	ATF4
ATF4	DDIT3
ATF4	GTF2F2
ATF4	JUN
ATF4	TRIB3
CENPE	CENPF
CENPE	SKP1A
CENPF	FNTB
CENPF	BRAP
CENPF	TOP3B
CHD3	CREB1
CHD3	IK
CHD3	KPNB1
CHD3	MAFG
CHD3	PSME1
CHD3	PTN
CHD3	PTPRS
CHD3	RAD51
CHD3	SAFB
CHD3	SATB1
CHD3	TAL1
CHD3	TP53
CHD3	SUMO1
CHD3	VIM
CHD3	XRCC4
CHD3	BHLHB2
CHD3	TNFRSF14
CHD3	FUBP1
CHD3	UBE1C
CHD3	ZNFN1A1
CHD3	PAICS
CHD3	TCERG1
CHD3	LUC7L2
CHD3	RIF1
CHD3	PRPF40A
CDC25C	CHEK1
CDC25C	PLK3
CDC25C	MAPK14
CDC25C	LCK
CDC25C	MARK3
CDC25C	NEDD4
CDC25C	PCNA
CDC25C	PLK1
CDC25C	PKN1
CDC25C	TP53
CDC25B	CHEK1
CDC25B	CREBBP
CDC25B	MAPK14
CDC25B	CSNK2A1
CDC25B	SFN
CDC25B	STK6
CDC25B	YWHAE
CDC25B	PCAF
CDC25B	MELK
CHUK	MAP3K8
CHUK	CREBBP
CHUK	CSF2RA
CHUK	CTNNB1
CHUK	HSPCA
CHUK	IKBKB
CHUK	IRS1
CHUK	MAP3K11
CHUK	NFKB1
CHUK	NFKB2
CHUK	NFKBIA
CHUK	PRKCB1
CHUK	PRKCI
CHUK	PRKCQ
CHUK	PRKDC
CHUK	EIF2AK2
CHUK	PTPN11
CHUK	RELA
CHUK	MAP3K7
CHUK	TNFAIP3
CHUK	TNFRSF1A
CHUK	TP53
CHUK	TRAF2
CHUK	NCOA3
CHUK	IKBKG
CHUK	IKBKAP
CHUK	BCL10
CHUK	MAP3K14
CHUK	NCOR2
CHUK	TANK
CHUK	UBE2E3
CHUK	CDC37
CDKN1B	CKS1B
CDKN1B	GRB2
CDKN1B	KPNA3
CDKN1B	KPNA5
CDKN1B	MCM7
CDKN1B	SKP2
CDKN1B	TRAF2
CDKN1B	TSC2
CDKN1B	XPO1
CDKN1B	YWHAE
CDKN1B	CCNA1
CDKN1B	CCNE2
CDKN1B	NUP50
CDKN1B	COPS5
CKS1B	CKS2
CKS1B	SKP2
CKS2	EEF1A1
CD22	GRB2
CD22	HP
CD22	LCP2
CD22	LYN
CD22	PIK3R1
CD22	PTPN6
CD22	PTPRC
CD22	SHC1
CD22	ST6GAL1
CD22	SYK
CLK1	PTPN1
CLK2	CLK3
CLK2	PTPN1
CLTC	XRCC6
CLTC	KIT
CLTC	MAP3K10
CLTC	VCL
CLTC	HIP1R
CLTC	HGS
CLTC	ENTH
CLTC	DNAJC6
CLTC	TNK2
CLTC	EPN2
CLTC	GGA2
CLTC	GGA1
CLTC	SNX9
CLTC	CLTB
CLTB	CSNK2A1
CLTB	CSNK2A2
CLTB	HIP1R
CCR1	JAK1
CCR1	CCL2
CCR1	CCL3
CCR1	CCL4
CCR1	CCL5
CCR1	CCL7
CCR1	CCL16
CCR1	CCL23
CCR1	STAT1
CCR1	STAT3
CCR2	JAK2
CCR2	CCL2
CCR2	CCL7
CCR2	CCL11
CCR2	CCL13
CCR2	CCL16
CD36	FYN
CD36	ITGA6
CD36	ITGB3
CD36	LYN
CD36	THBS1
CD36	YES1
COL2A1	COL6A1
COL2A1	COL9A2
COL2A1	FN1
COL2A1	MATN1
COL2A1	MMP1
COL2A1	MMP13
COL2A1	PKD1
COL2A1	SPARC
COL2A1	TGFB1
COL2A1	TGFBI
COL2A1	THBS1
COL4A1	FN1
COL4A1	MMP9
COL4A1	OSM
COL4A1	TGFBI
ANXA6	CR2
ANXA6	RASA1
ANXA6	S100A1
ANXA6	TPD52
CR2	FCER2
CR2	TP53
CR2	IFITM1
BCL3	CREBBP
BCL3	CTNNB1
BCL3	FOS
BCL3	FYN
BCL3	GSK3A
BCL3	GSK3B
BCL3	GTF2A1
BCL3	HDAC1
BCL3	JUN
BCL3	NFKB1
BCL3	NFKB2
BCL3	MAPK3
BCL3	RXRA
BCL3	SHC1
BCL3	NCOA1
BCL3	HDAC3
BCL3	COPS5
CREB1	CREBBP
CREB1	CREM
CREB1	MAPK14
CREB1	DYRK1A
CREB1	NR3C1
CREB1	GSK3B
CREB1	GTF2F2
CREB1	PRKG1
CREB1	RPS6KA1
CREB1	RPS6KA2
CREB1	RPS6KA3
CREB1	SRF
CREB1	VIM
CREB1	RPS6KA5
CREB1	MAPKAPK2
CREB1	C14orf1
CREBBP	CREM
CREBBP	CSK
CREBBP	CSNK2A1
CREBBP	CSNK2A2
CREBBP	CTNNB1
CREBBP	CUTL1
CREBBP	E2F1
CREBBP	E2F5
CREBBP	EBF
CREBBP	EGR1
CREBBP	EIF2B1
CREBBP	ELK1
CREBBP	EP300
CREBBP	ETS1
CREBBP	ETS2
CREBBP	EWSR1
CREBBP	FGFR1
CREBBP	FOXO1A
CREBBP	GATA1
CREBBP	NR3C1
CREBBP	MSH6
CREBBP	HDAC1
CREBBP	HIF1A
CREBBP	HLF
CREBBP	HMGA1
CREBBP	HOXA11
CREBBP	HOXB7
CREBBP	IRF3
CREBBP	JUN
CREBBP	SMAD2
CREBBP	SMAD3
CREBBP	SMAD4
CREBBP	MAF
CREBBP	MAFG
CREBBP	MDM2
CREBBP	MLL
CREBBP	MSH2
CREBBP	MSX1
CREBBP	MYB
CREBBP	MYBL1
CREBBP	MYBL2
CREBBP	MYC
CREBBP	NFATC2
CREBBP	NFATC4
CREBBP	NPAT
CREBBP	PAX5
CREBBP	PML
CREBBP	PRKCD
CREBBP	PTMA
CREBBP	RBBP4
CREBBP	RELA
CREBBP	RPS6KA1
CREBBP	RPS6KA3
CREBBP	RXRG
CREBBP	SPI1
CREBBP	SPIB
CREBBP	SRF
CREBBP	STAT1
CREBBP	STAT2
CREBBP	STAT3
CREBBP	STAT4
CREBBP	STAT6
CREBBP	TCF3
CREBBP	TCF12
CREBBP	TDG
CREBBP	TP53
CREBBP	VDR
CREBBP	NCOA3
CREBBP	IKBKG
CREBBP	PIAS1
CREBBP	NCOA1
CREBBP	HDAC3
CREBBP	PCAF
CREBBP	RPS6KA5
CREBBP	KLF4
CREBBP	TRIP10
CREBBP	TRAM2
CREBBP	SERTAD2
CREBBP	NCOA2
CREBBP	KHDRBS1
CREBBP	SRCAP
CREBBP	KLF13
CREBBP	NLK
CREBBP	TRERF1
CREBBP	GPBP1
CREBBP	SNIP1
CREBBP	CAMK4
CAMK4	GAPDH
CAMK4	RELA
CREM	CSNK1A1
CREM	CSNK2A1
CREM	CSNK2A2
CREM	GSK3A
CREM	GSK3B
CREM	PRKACA
CREM	PRKCA
CREM	SPI1
CREM	TAF4
CRK	CRKL
CRK	DAB1
CRK	EPHB3
CRK	EPS15
CRK	PTK2B
CRK	FGFR1
CRK	FLT1
CRK	FYN
CRK	GAB1
CRK	GRB2
CRK	RAPGEF1
CRK	INSR
CRK	IRS1
CRK	KDR
CRK	KIT
CRK	NCK1
CRK	PDGFRA
CRK	PDGFRB
CRK	PIK3R1
CRK	PLSCR1
CRK	MAPK8
CRK	PTK2
CRK	RET
CRK	SHC1
CRK	SOS1
CRK	STAT5A
CRK	STAT5B
CRK	VAV1
CRK	WEE1
CRK	XPO1
CRK	ZAP70
CRK	IRS2
CRK	MAP4K1
CD34	CRKL
CD34	PRKCD
CBLB	CRKL
CBLB	FYB
CBLB	FYN
CBLB	GRB2
CBLB	KIT
CBLB	NCK1
CBLB	NEDD4
CBLB	PIK3R1
CBLB	PLCG2
CBLB	RET
CBLB	SHC1
CBLB	SYK
CBLB	VAV1
CBLB	ZAP70
CBLB	BLNK
CBLB	SH3KBP1
ZFP36L1	MAPK14
CSF1	CSF1R
CSF1	SOCS1
CSF1	GAB3
CSF1R	FYN
CSF1R	GRB2
CSF1R	INPPL1
CSF1R	LYN
CSF1R	PIK3R1
CSF1R	PIK3R2
CSF1R	RASA1
CSF1R	SHC1
CSF1R	SOS1
CSF1R	YES1
CSF1R	SOCS1
CSF1R	SOCS3
CSF1R	GRAP2
CSF2RA	CSF2RB
CSF2RA	IKBKB
CSF2RA	KIT
CSF2RA	LYN
CSF2RA	PIK3R1
CSF2RB	FES
CSF2RB	FYN
CSF2RB	HCK
CSF2RB	IL3RA
CSF2RB	IL5RA
CSF2RB	JAK1
CSF2RB	JAK2
CSF2RB	KDR
CSF2RB	KIT
CSF2RB	LCK
CSF2RB	LYN
CSF2RB	MAD2L1
CSF2RB	PRKCB1
CSF2RB	PTPN6
CSF2RB	PTPN11
CSF2RB	SHC1
CSF2RB	STAT1
CSF2RB	STAT3
CSF2RB	SYK
CSF2RB	CISH
CISH	CSF3R
CISH	GHR
CISH	IL2RB
CISH	IL3RA
CISH	KIT
CISH	SMAD2
CISH	PRKCA
CISH	PRKCB1
CISH	PRKCQ
CSF3R	FTH1
CSF3R	GRB2
CSF3R	HCK
CSF3R	JAK1
CSF3R	JAK2
CSF3R	LCK
CSF3R	LYN
CSF3R	PLA2G1B
CSF3R	PTPN11
CSF3R	SHC1
CSF3R	STAT3
CSF3R	SYK
CSF3R	SOCS3
CSK	DAB2
CSK	DOK1
CSK	FGR
CSK	FYN
CSK	HCK
CSK	HNRPK
CSK	INSR
CSK	LAIR1
CSK	LCK
CSK	LYN
CSK	PECAM1
CSK	PRKACA
CSK	PTK2
CSK	RASA1
CSK	RGS16
CSK	SHC1
CSK	YES1
CSK	PTPN22
CSK	PTPN18
CSK	SIT1
CSK	PAG1
CSK	DOK3
CSK	CDH5
CDH5	CTNNA1
CDH5	CTNNB1
CDH5	JUP
CDH5	KDR
CDH5	PTPN11
CDH5	PTPRB
CDH5	SHC1
CDH5	VIM
CDH5	P2RXL1
CSNK1E	DVL2
CSNK1E	DVL3
CSNK1E	AXIN2
CSNK1E	SOCS3
CSNK1E	ANKRD6
CSNK2A1	CTNNB1
CSNK2A1	DDIT3
CSNK2A1	DVL3
CSNK2A1	EGR1
CSNK2A1	F5
CSNK2A1	FGF1
CSNK2A1	FGF2
CSNK2A1	FOS
CSNK2A1	GPI
CSNK2A1	GTF2A1
CSNK2A1	GYS1
CSNK2A1	HCLS1
CSNK2A1	HDAC1
CSNK2A1	HDAC2
CSNK2A1	HMGA1
CSNK2A1	HNRPA2B1
CSNK2A1	HOXB7
CSNK2A1	HSPCA
CSNK2A1	IFI16
CSNK2A1	IGFBP3
CSNK2A1	IL16
CSNK2A1	IRF2
CSNK2A1	IRS1
CSNK2A1	JUN
CSNK2A1	LIG1
CSNK2A1	MAX
CSNK2A1	MAZ
CSNK2A1	MEF2C
CSNK2A1	MYB
CSNK2A1	MYC
CSNK2A1	MYCN
CSNK2A1	NCF1
CSNK2A1	NFKBIA
CSNK2A1	PAK1
CSNK2A1	PPP1R8
CSNK2A1	PPP2R4
CSNK2A1	PRNP
CSNK2A1	PSEN2
CSNK2A1	PTEN
CSNK2A1	PTPN1
CSNK2A1	PTPRC
CSNK2A1	RELA
CSNK2A1	RPL5
CSNK2A1	SP1
CSNK2A1	SPIB
CSNK2A1	SPP1
CSNK2A1	SRF
CSNK2A1	TOP1
CSNK2A1	TP53
CSNK2A1	VDR
CSNK2A1	VTN
CSNK2A1	WAS
CSNK2A1	WEE1
CSNK2A1	XRCC1
CSNK2A1	XRCC4
CSNK2A1	OGT
CSNK2A1	HDAC3
CSNK2A1	EIF2S2
CSNK2A1	NOL3
CSNK2A1	NOLC1
CSNK2A1	KLF1
CSNK2A1	FAF1
CSNK2A1	CDC37
CSNK2A1	PACS1
CSNK2A1	BDP1
CSNK2A1	SFRS12
MAPK14	CSNK2A2
MAPK14	DDIT3
MAPK14	DUSP1
MAPK14	DUSP2
MAPK14	DUSP7
MAPK14	ELK1
MAPK14	ELK3
MAPK14	FLNA
MAPK14	GRB2
MAPK14	JUNB
MAPK14	SMAD3
MAPK14	SMAD7
MAPK14	MARS
MAPK14	MAX
MAPK14	MEF2A
MAPK14	MEF2C
MAPK14	NCF1
MAPK14	NFATC1
MAPK14	NFATC4
MAPK14	PML
MAPK14	MAPK1
MAPK14	MAPK3
MAPK14	MAPK8
MAPK14	MAP2K1
MAPK14	MAP2K3
MAPK14	MAP2K6
MAPK14	PTPN7
MAPK14	RET
MAPK14	MAP2K4
MAPK14	STAT1
MAPK14	STAT4
MAPK14	MAP3K7
MAPK14	MAPKAPK3
MAPK14	NCOA3
MAPK14	EEA1
MAPK14	SCYE1
MAPK14	MAPKAPK2
MAPK14	MAP3K7IP1
MAPK14	STK39
MAPK14	EEF2K
CSNK2A2	FGF1
CSNK2A2	FGF2
CSNK2A2	FOS
CSNK2A2	GTF2A1
CSNK2A2	HDAC1
CSNK2A2	HDAC2
CSNK2A2	HMGA1
CSNK2A2	HSPCA
CSNK2A2	IL16
CSNK2A2	MYC
CSNK2A2	MYCN
CSNK2A2	NCF1
CSNK2A2	PAK1
CSNK2A2	PPP1R8
CSNK2A2	PRNP
CSNK2A2	PTEN
CSNK2A2	PTPN1
CSNK2A2	PTPRC
CSNK2A2	SPIB
CSNK2A2	SPP1
CSNK2A2	WAS
CSNK2A2	KLF1
CSNK2A2	CDC37
CHEK1	XRCC6
CHEK1	SMAD4
CHEK1	MDM4
CHEK1	RELA
CHEK1	TP53
CHEK1	TLK1
CDC42	FGD1
CDC42	FLNA
CDC42	MAP3K4
CDC42	MAP3K10
CDC42	MAP3K11
CDC42	MYO9A
CDC42	NCF2
CDC42	PAK1
CDC42	PAK2
CDC42	PIK3R1
CDC42	PRKCA
CDC42	PRKCG
CDC42	PRKCI
CDC42	PRKCZ
CDC42	EIF2AK2
CDC42	RAC2
CDC42	RPS6KB1
CDC42	TP53
CDC42	VAV1
CDC42	WAS
CDC42	IQGAP1
CDC42	ARHGEF6
CDC42	TNK2
CDC42	C14orf1
CDC42	CDC42SE1
CDC42	CDGAP
CDC42	PLEKHG2
CDC42	DOCK8
CDC42	DOCK7
CTLA4	FYN
CTLA4	JAK2
CTLA4	LCK
CTLA4	LYN
CTLA4	PIK3R1
CTLA4	PPP2R5A
CTLA4	PTPN11
CTLA4	STAT5A
CTLA4	STAT5B
CTLA4	TXK
CSNK1A1	CTNNB1
CSNK1A1	HMGB2
CSNK1A1	KPNB1
CSNK1A1	NFATC3
CSNK1A1	PPP2R5A
CSNK1A1	PSEN2
CSNK1A1	TNFRSF1B
CSNK1A1	TP53
CSNK1A1	FADD
CSNK1A1	SYT9
CSNK1D	CTNNB1
CSNK1D	DVL3
CSNK1D	PSEN2
CSNK1D	TP53
CTNNA1	CTNNB1
CTNNA1	JUP
CTNNA1	PKD1
CTNNA1	PSEN1
CTNNA1	VCL
ACP1	CTNNB1
ACP1	EPHB2
ACP1	FYN
ACP1	INSR
ACP1	KDR
ACP1	LCK
ACP1	ZAP70
BCL9	CTNNB1
BCL9	PYGO2
CTNNB1	CTNND2
CTNNB1	DVL3
CTNNB1	EP300
CTNNB1	ERBB2
CTNNB1	FER
CTNNB1	FOXO1A
CTNNB1	FLT1
CTNNB1	FYN
CTNNB1	GSK3B
CTNNB1	IKBKB
CTNNB1	KDR
CTNNB1	SMAD2
CTNNB1	SMAD3
CTNNB1	SMAD4
CTNNB1	MET
CTNNB1	NFKB1
CTNNB1	PECAM1
CTNNB1	PIK3R1
CTNNB1	PKD1
CTNNB1	PPM1A
CTNNB1	PSEN1
CTNNB1	PSEN2
CTNNB1	PTPN1
CTNNB1	PTPN6
CTNNB1	PTPN13
CTNNB1	PTPRF
CTNNB1	PTPRJ
CTNNB1	PTPRK
CTNNB1	PTPRM
CTNNB1	PTPRZ1
CTNNB1	TBL1X
CTNNB1	TCF4
CTNNB1	TCF3
CTNNB1	TGFBR2
CTNNB1	VIL2
CTNNB1	USP9X
CTNNB1	AXIN2
CTNNB1	IQGAP1
CTNNB1	DLG5
CTNNB1	TRIP10
CTNNB1	PTPRU
CTNNB1	NCOA2
CTNNB1	LEF1
CTNNB1	CHD8
CTNND2	FYN
CTNND2	LCK
CTNND2	PSEN1
CTNND2	PSEN2
CTNND2	ERBB2IP
CTSB	IGF1
CTSB	MARCKS
CTSB	PLAU
CTSB	RGS2
CTSB	SLPI
CTSL	CUTL1
CTSL	IGFBP3
CTSL	IL8
CTSL	KNG1
CTSL	PLAU
CTSL	RXRA
CTSL	SLPI
CTSL	CD7
CD7	LGALS1
CD7	PIK3R1
CYBA	CYBB
CYBA	NCF1
CYBA	NCF2
CYBA	RAC1
CYP11A1	SMAD2
CYP11A1	SMAD3
CRKL	DAB1
CRKL	DOK1
CRKL	FCGR1A
CRKL	GAB1
CRKL	GRB2
CRKL	RAPGEF1
CRKL	IFNAR1
CRKL	INSR
CRKL	KIT
CRKL	LYN
CRKL	PDGFRA
CRKL	PIK3R1
CRKL	PIK3R2
CRKL	PTPN11
CRKL	SHC1
CRKL	SOS1
CRKL	STAT5A
CRKL	STAT5B
CRKL	SYK
CRKL	TYK2
CRKL	WAS
CRKL	WASPIP
CRKL	MAP4K1
CRKL	BLNK
CD14	DAF
CD14	ITGB2
CD14	TLR4
DAF	FYN
DAF	LCK
DAF	CD97
DAPK1	MAPK1
DAPK1	MAPK3
DAPK1	TNFRSF1A
DAPK1	TRADD
DAPK1	FADD
DAPK1	MIB1
ATRX	HDAC1
ATRX	NEK1
ATRX	PTN
ATRX	PTPN4
ATRX	RAD51
ATRX	LUC7L2
COL4A5	FN1
COL4A5	MMP9
COL4A5	OSM
DCTD	NIF3L1
ERCC8	DDB1
ERCC8	ERCC6
DDB1	DDB2
DDB1	SKP2
