#nodeA	nodeB
APC	PPP2CA
APC	PPP2R5A
APC	PRKACA
APC	PTK2
APC	PTPN13
APC	SIAH1
APC	AXIN2
APC	IQGAP1
APEX1	CSNK2A1
APEX1	EP300
APEX1	FEN1
APEX1	XRCC6
APEX1	GZMA
APEX1	HDAC1
APEX1	HIF1A
APEX1	HMGB2
APEX1	MUTYH
APEX1	NME1
APEX1	PCNA
APEX1	POLB
APEX1	SET
APEX1	TP53
APEX1	TXN
APEX1	XRCC1
APEX1	ANP32A
BIRC4	BIRC5
BIRC4	CASP3
BIRC4	CASP7
BIRC4	CASP9
BIRC4	GSPT1
BIRC4	MAP3K7
BIRC4	TRAF6
BIRC4	MAP3K7IP1
BIRC4	MAP3K7IP2
BIRC4	ACVRL1
ACVRL1	TGFB1
ACVRL1	TGFB3
ACVRL1	TGFBR2
BIRC5	CASP3
BIRC5	CASP7
BIRC5	CASP9
BIRC5	CDC2
BIRC5	CDK4
BIRC5	HSPCA
BIRC5	RASA1
BIRC5	AURKB
ABCA1	CSNK2A1
ABCA1	LIMK1
ABCA1	PRKACA
ABCA1	SNTB2
ABCA1	TIAM1
ABCA1	FADD
ABCA1	DLG5
ABCA1	ARHGEF11
ABCA1	RAPGEF6
APOE	SCARB1
APOE	CTSB
APOE	PRNP
FAS	BTK
FAS	CALM1
FAS	CASP8
FAS	CD47
FAS	CRMP1
FAS	EEF1A1
FAS	FYN
FAS	LCK
FAS	MET
FAS	PRKCA
FAS	PTPN6
FAS	PTPN13
FAS	RAP1A
FAS	UBE1L
FAS	SUMO1
FAS	VIL2
FAS	TRADD
FAS	RIPK1
FAS	TNFSF13
FAS	FADD
FAS	CASP8AP2
FAS	PDCD6
FAS	HIPK3
FAS	FEM1B
FAS	FAF1
FAS	C14orf1
FAS	FAIM2
FAS	APAF1
APAF1	BCL2L1
APAF1	CASP3
APAF1	CASP4
APAF1	CASP8
APAF1	CASP9
APAF1	FEM1B
APAF1	NALP1
APAF1	CYCS
AES	PRDM1
AES	MSX1
AES	POU2F1
AES	RELA
AES	CCL7
ARAF	HRAS
ARAF	PDGFRB
ARAF	PIK3R1
ARAF	MAP2K1
ARAF	MAP2K2
ARAF	COPS3
ARAF	TIMM44
ARAF	RRAS2
ARAF	PBK
TRIM23	GEM
TRIM23	SF1
TRIM23	PSCD1
TRIM23	POM121
TRIM23	GGA2
TRIM23	RIBC2
RHOA	ARHGAP1
RHOA	ARHGDIB
RHOA	DVL2
RHOA	FLNA
RHOA	ITPR1
RHOA	MCF2
RHOA	PPP1R12A
RHOA	PRKACA
RHOA	PRKCA
RHOA	PKN1
RHOA	PKN2
RHOA	PRKCZ
RHOA	RASGRF1
RHOA	ROCK1
RHOA	TRIO
RHOA	VAV1
RHOA	VAV2
RHOA	PITPNM1
RHOA	ARHGEF11
RHOA	VAV3
RHOA	AKAP13
RHOA	DAAM1
RHOA	ARHGEF3
RHOA	GMIP
RHOA	ARHGAP21
RHOA	PLEKHG2
RHOA	DOCK7
RHOA	SPRED2
RHOC	ARHGAP1
RHOC	ROCK1
ARHGAP1	BNIP2
ARHGAP1	CDC42
ARHGAP1	ITPR1
ARHGAP1	PIK3R1
ARHGAP1	PTPN11
ARHGAP1	RASA1
ARHGAP1	TUBA1
